Feature_Set,Model,Feature_Count,Test_AUC,Test_Accuracy,Test_F1
Full All-Features,CatBoost,959,0.7993172696130222,0.7177242888402626,0.7146859333529932
Full All-Features,LogisticRegression,959,0.7970664354962769,0.7174325309992706,0.7156905915162189
LoL Core + Lane Matchups,CatBoost_reduced_default,111,0.7835146559053491,0.7026987600291758,0.6993213337267631
LoL Core Signals,CatBoost_reduced_default,76,0.7820787008174157,0.7042304886943836,0.7010248470102485
LoL Core + Lane Matchups,LogisticRegression,111,0.7818343137191477,0.7024799416484317,0.6999190759949975
LoL Core Signals,LogisticRegression,76,0.7812462014022082,0.7035740335521518,0.7008685411452966
