model,feature_group,importance,share
CatBoost,aggregate_difference,24.995190508038082,0.2499519050803804
CatBoost,setup_runes_spells,18.560194888787144,0.18560194888787113
CatBoost,champion_composition,17.75737262000096,0.1775737262000093
CatBoost,player_level_stats,17.62568616392075,0.1762568616392072
CatBoost,lane_position,9.191275402100036,0.0919127540210002
CatBoost,team_aggregate,8.382934446006573,0.08382934446006558
CatBoost,objective_counts,3.1586508122625863,0.03158650812262581
CatBoost,queue_type,0.3286951588840254,0.0032869515888402485
LogisticRegression,champion_composition,8.075656353803515,0.3772996867233129
LogisticRegression,setup_runes_spells,6.961950316900269,0.3252666481174108
LogisticRegression,player_level_stats,3.0855760811609785,0.14416003328753207
LogisticRegression,team_aggregate,1.1091120424831815,0.051818404329806084
LogisticRegression,aggregate_difference,1.0546240686982495,0.049272692311047354
LogisticRegression,lane_position,0.6432867992457085,0.030054759290783193
LogisticRegression,objective_counts,0.3669003307332022,0.017141811610039345
LogisticRegression,queue_type,0.10671870647875947,0.0049859643300682235
