model,feature,raw_value,importance,direction,importance_type,feature_group,importance_rank
LogisticRegression,Diff_TotalGold,0.3723068511780726,0.3723068511780726,Blue-favored,absolute_logistic_coefficient,aggregate_difference,1
LogisticRegression,Diff_DmgDealt,0.21709973451680767,0.21709973451680767,Blue-favored,absolute_logistic_coefficient,aggregate_difference,2
LogisticRegression,Diff_MinionsKilled,0.1997941816093154,0.1997941816093154,Blue-favored,absolute_logistic_coefficient,aggregate_difference,3
LogisticRegression,TotalGold_P1,0.18958386288166143,0.18958386288166143,Blue-favored,absolute_logistic_coefficient,player_level_stats,4
LogisticRegression,TotalGold_P8,-0.15885178272970205,0.15885178272970205,Red-favored,absolute_logistic_coefficient,player_level_stats,5
LogisticRegression,MinionsKilled_P7,-0.13898946757483527,0.13898946757483527,Red-favored,absolute_logistic_coefficient,player_level_stats,6
LogisticRegression,MinionsKilled_P2,0.13672824576199386,0.13672824576199386,Blue-favored,absolute_logistic_coefficient,player_level_stats,7
LogisticRegression,TotalGold_P4,0.1247446697813672,0.1247446697813672,Blue-favored,absolute_logistic_coefficient,player_level_stats,8
LogisticRegression,BlueChamp_81,-0.12127486256461464,0.12127486256461464,Red-favored,absolute_logistic_coefficient,champion_composition,9
LogisticRegression,RedChamp_81,0.11322096995478374,0.11322096995478374,Blue-favored,absolute_logistic_coefficient,champion_composition,10
LogisticRegression,RedChamp_51,0.11210799572394935,0.11210799572394935,Blue-favored,absolute_logistic_coefficient,champion_composition,11
LogisticRegression,Diff_DragonKills,0.10744707678909846,0.10744707678909846,Blue-favored,absolute_logistic_coefficient,aggregate_difference,12
LogisticRegression,RedChamp_75,-0.10702622356673894,0.10702622356673894,Red-favored,absolute_logistic_coefficient,champion_composition,13
LogisticRegression,MinionsKilled_P9,-0.10498401606967527,0.10498401606967527,Red-favored,absolute_logistic_coefficient,player_level_stats,14
LogisticRegression,RedDragonKills,-0.10424125129775424,0.10424125129775424,Red-favored,absolute_logistic_coefficient,objective_counts,15
LogisticRegression,SummonerSpell2_P8_11,0.10108248082414353,0.10108248082414353,Blue-favored,absolute_logistic_coefficient,setup_runes_spells,16
LogisticRegression,BlueDragonKills,0.09498140715342183,0.09498140715342183,Blue-favored,absolute_logistic_coefficient,objective_counts,17
LogisticRegression,TotalGold_P7,-0.09437325383748207,0.09437325383748207,Red-favored,absolute_logistic_coefficient,player_level_stats,18
LogisticRegression,BlueChamp_10,0.09347968085615331,0.09347968085615331,Blue-favored,absolute_logistic_coefficient,champion_composition,19
LogisticRegression,BlueChamp_51,-0.09247306674596567,0.09247306674596567,Red-favored,absolute_logistic_coefficient,champion_composition,20
