Feature_Set,Best_Model,Test_AUC,Test_Accuracy,Test_F1,Delta_vs_Aggregate_AUC
Aggregate-Only,CatBoost,0.7821646746834034,0.7036469730123998,0.6997265538393319,0.0
All / Combined Features,CatBoost,0.7989231730723723,0.7137126185266229,0.7101823820423835,0.016758498388968812
