,AUC_Rank,Val_AUC,Test_AUC,Test_Accuracy,Test_F1,Gap_vs_Best_AUC,Gap_vs_LogReg_AUC
LogisticRegression,4,0.7926724256276102,0.7970664354962769,0.7174325309992706,0.7156905915162189,0.0018567375760953908,0.0
CatBoost,1,0.7933480574414744,0.7989231730723723,0.7137126185266229,0.7101823820423835,0.0,0.0018567375760953908
