,Val_AUC,Test_Accuracy,Test_AUC,Test_F1,AUC_Rank,Gap_vs_Best_AUC,Gap_vs_LogReg_AUC
CatBoost,0.7933480574414744,0.7137126185266229,0.7989231730723723,0.7101823820423835,1,0.0,0.0018567375760953908
LightGBM,0.7920738197567394,0.7157549234135667,0.7980377486559987,0.7127589002727206,2,0.0008854244163735148,0.000971313159721876
XGBoost,0.7928506452279566,0.7145878920495988,0.7976918102486977,0.7110684486450565,3,0.001231362823674531,0.0006253747524208597
LogisticRegression,0.7926724256276102,0.7174325309992706,0.7970664354962769,0.7156905915162189,4,0.0018567375760953908,0.0
RandomForest,0.7721039447967263,0.7023340627279359,0.780712439890648,0.6981285598047193,5,0.01821073318172428,-0.01635399560562889
DecisionTree,0.765933653824256,0.6996353026987601,0.7754630224699934,0.691072768192048,6,0.023460150602378826,-0.021603413026283436
