,AUC_Rank,Val_AUC,Test_AUC,Test_Accuracy,Test_F1,Gap_vs_Best_AUC,Gap_vs_LogReg_AUC
LogisticRegression,4,0.7721924852562043,0.7812421580768276,0.7036469730123998,0.7012280314729025,0.0009225166065758295,0.0
CatBoost,1,0.7733880155805668,0.7821646746834034,0.7036469730123998,0.6997265538393319,0.0,0.0009225166065758295
