model,feature,raw_value,importance,direction,importance_type,feature_group,importance_rank
LogisticRegression,BlueBaronKills,0.0,0.0,Blue-favored,absolute_logistic_coefficient,raw_objective_counts,48
LogisticRegression,RedBaronKills,0.0,0.0,Blue-favored,absolute_logistic_coefficient,raw_objective_counts,49
LogisticRegression,Diff_BaronKills,0.0,0.0,Blue-favored,absolute_logistic_coefficient,difference_features,50
CatBoost,Diff_TotalGold,20.627030961232265,20.627030961232265,higher importance,tree_feature_importance,difference_features,1
CatBoost,Red_MinionsKilled_avg,11.679214804266579,11.679214804266579,higher importance,tree_feature_importance,team_aggregate_features,2
CatBoost,Red_MinionsKilled_sum,8.660179919201694,8.660179919201694,higher importance,tree_feature_importance,team_aggregate_features,3
CatBoost,Blue_MinionsKilled_avg,8.012841644936827,8.012841644936827,higher importance,tree_feature_importance,team_aggregate_features,4
CatBoost,Diff_MinionsKilled,6.021652482423309,6.021652482423309,higher importance,tree_feature_importance,difference_features,5
CatBoost,Blue_MinionsKilled_sum,4.299030555612522,4.299030555612522,higher importance,tree_feature_importance,team_aggregate_features,6
CatBoost,Blue_GoldStd,3.6684186486551265,3.6684186486551265,higher importance,tree_feature_importance,team_aggregate_features,7
CatBoost,Red_GoldStd,3.4988204984429876,3.4988204984429876,higher importance,tree_feature_importance,team_aggregate_features,8
CatBoost,Diff_DragonKills,3.3944665730993933,3.3944665730993933,higher importance,tree_feature_importance,difference_features,9
CatBoost,RedDragonKills,2.888786204644132,2.888786204644132,higher importance,tree_feature_importance,raw_objective_counts,10
CatBoost,Diff_DmgDealt,2.0529408086383034,2.0529408086383034,higher importance,tree_feature_importance,difference_features,11
CatBoost,Red_KDA,1.5791646882108563,1.5791646882108563,higher importance,tree_feature_importance,team_aggregate_features,12
CatBoost,Red_TotalGold_sum,1.5026801839438801,1.5026801839438801,higher importance,tree_feature_importance,team_aggregate_features,13
CatBoost,Diff_kills,1.4804376911674373,1.4804376911674373,higher importance,tree_feature_importance,difference_features,14
CatBoost,BlueDragonKills,1.4510579635294822,1.4510579635294822,higher importance,tree_feature_importance,raw_objective_counts,15
CatBoost,Diff_KDA,1.3934558184540664,1.3934558184540664,higher importance,tree_feature_importance,difference_features,16
CatBoost,Red_TotalGold_avg,1.2326396705062863,1.2326396705062863,higher importance,tree_feature_importance,team_aggregate_features,17
CatBoost,Red_DmgDealt_avg,1.125028322906367,1.125028322906367,higher importance,tree_feature_importance,team_aggregate_features,18
CatBoost,Blue_TotalGold_sum,1.0644635977639199,1.0644635977639199,higher importance,tree_feature_importance,team_aggregate_features,19
CatBoost,BlueRiftHeraldKills,1.0391333113062953,1.0391333113062953,higher importance,tree_feature_importance,raw_objective_counts,20
CatBoost,RedRiftHeraldKills,0.9881458559714018,0.9881458559714018,higher importance,tree_feature_importance,raw_objective_counts,21
CatBoost,Blue_DmgDealt_sum,0.9547603459113652,0.9547603459113652,higher importance,tree_feature_importance,team_aggregate_features,22
CatBoost,Diff_RiftHeraldKills,0.9257610884441306,0.9257610884441306,higher importance,tree_feature_importance,difference_features,23
CatBoost,Blue_KDA,0.9115028091228813,0.9115028091228813,higher importance,tree_feature_importance,team_aggregate_features,24
CatBoost,Blue_TotalGold_avg,0.8961536684644611,0.8961536684644611,higher importance,tree_feature_importance,team_aggregate_features,25
CatBoost,RedKills,0.846090630802343,0.846090630802343,higher importance,tree_feature_importance,raw_objective_counts,26
CatBoost,Blue_assists_avg,0.789717338384879,0.789717338384879,higher importance,tree_feature_importance,team_aggregate_features,27
CatBoost,Blue_DmgDealt_avg,0.7563377426409024,0.7563377426409024,higher importance,tree_feature_importance,team_aggregate_features,28
CatBoost,Red_assists_sum,0.654675322511387,0.654675322511387,higher importance,tree_feature_importance,team_aggregate_features,29
CatBoost,Diff_assists,0.6020422615179054,0.6020422615179054,higher importance,tree_feature_importance,difference_features,30
CatBoost,Red_assists_avg,0.5802806518625468,0.5802806518625468,higher importance,tree_feature_importance,team_aggregate_features,31
CatBoost,Blue_assists_sum,0.5454209841315504,0.5454209841315504,higher importance,tree_feature_importance,team_aggregate_features,32
CatBoost,Red_DmgDealt_sum,0.539194186739917,0.539194186739917,higher importance,tree_feature_importance,team_aggregate_features,33
CatBoost,Red_deaths_avg,0.43991487619249564,0.43991487619249564,higher importance,tree_feature_importance,team_aggregate_features,34
CatBoost,Diff_Kills,0.39222714363644123,0.39222714363644123,higher importance,tree_feature_importance,difference_features,35
CatBoost,Diff_deaths,0.35590151124453046,0.35590151124453046,higher importance,tree_feature_importance,difference_features,36
CatBoost,Red_deaths_sum,0.3526169292869243,0.3526169292869243,higher importance,tree_feature_importance,team_aggregate_features,37
CatBoost,Red_kills_sum,0.2896349869036711,0.2896349869036711,higher importance,tree_feature_importance,team_aggregate_features,38
CatBoost,Diff_TowerKills,0.2623723899700084,0.2623723899700084,higher importance,tree_feature_importance,difference_features,39
CatBoost,Blue_kills_sum,0.25944951549994666,0.25944951549994666,higher importance,tree_feature_importance,team_aggregate_features,40
CatBoost,Red_kills_avg,0.2454632260357697,0.2454632260357697,higher importance,tree_feature_importance,team_aggregate_features,41
CatBoost,RedTowerKills,0.23646801535152667,0.23646801535152667,higher importance,tree_feature_importance,raw_objective_counts,42
CatBoost,BlueKills,0.16429363670190447,0.16429363670190447,higher importance,tree_feature_importance,raw_objective_counts,43
CatBoost,Blue_deaths_sum,0.11597530966522071,0.11597530966522071,higher importance,tree_feature_importance,team_aggregate_features,44
CatBoost,BlueTowerKills,0.11146035991811636,0.11146035991811636,higher importance,tree_feature_importance,raw_objective_counts,45
CatBoost,Blue_kills_avg,0.06020517376721181,0.06020517376721181,higher importance,tree_feature_importance,team_aggregate_features,46
CatBoost,Blue_deaths_avg,0.05248969037879842,0.05248969037879842,higher importance,tree_feature_importance,team_aggregate_features,47
CatBoost,BlueBaronKills,0.0,0.0,higher importance,tree_feature_importance,raw_objective_counts,48
CatBoost,RedBaronKills,0.0,0.0,higher importance,tree_feature_importance,raw_objective_counts,49
CatBoost,Diff_BaronKills,0.0,0.0,higher importance,tree_feature_importance,difference_features,50
