Model,ROC_AUC,PR_AUC,Accuracy_at_0_50,F1_at_0_50,Mean_Prob_Blue,Std_Prob_Blue
CatBoost,0.7993172696130222,0.8101121424120497,0.7177242888402626,0.7146859333529932,0.5005438374331849,0.2536237042201841
LightGBM,0.7980377486559987,0.8082311732438014,0.7157549234135667,0.7127589002727206,0.5002489133541839,0.25558988212584166
LogisticRegression,0.7970664354962769,0.8045887214690359,0.7174325309992706,0.7156905915162189,0.5004972574776493,0.26520523323580175
RandomForest,0.780712439890648,0.7905878488676226,0.7023340627279359,0.6981285598047193,0.5008616872873999,0.21898740797329327
