row_index,Model,Actual,Prob_Blue,Pred_0_50
42771,CatBoost,0,0.28605618397091087,0
20925,CatBoost,0,0.37492827670766377,0
51919,CatBoost,1,0.19625969914854258,0
78278,CatBoost,1,0.6097017800739931,1
77618,CatBoost,0,0.15586743816523965,0
74015,CatBoost,0,0.3855974499599849,0
72544,CatBoost,0,0.6048899984159228,1
38202,CatBoost,0,0.9243984478324049,1
13904,CatBoost,0,0.6537950095145701,1
72597,CatBoost,1,0.9874587958342748,1
5541,CatBoost,0,0.2837365910229814,0
54212,CatBoost,1,0.6690563467975146,1
68107,CatBoost,1,0.8315442771831361,1
12208,CatBoost,1,0.9806309061135889,1
34676,CatBoost,0,0.40196396456623174,0
39602,CatBoost,1,0.783590320430809,1
26873,CatBoost,1,0.7249369254607602,1
89164,CatBoost,0,0.7029690093325297,1
55400,CatBoost,1,0.6310519717415966,1
18461,CatBoost,1,0.5028437528094489,1
74258,CatBoost,0,0.555659185095359,1
84312,CatBoost,1,0.2181834906686361,0
23822,CatBoost,1,0.7764700993543753,1
43876,CatBoost,0,0.6041400121758087,1
72867,CatBoost,1,0.8517275668551137,1
26508,CatBoost,0,0.4437165738273161,0
52676,CatBoost,0,0.5934842849694809,1
61927,CatBoost,0,0.46211657072246454,0
91228,CatBoost,1,0.4430751560882241,0
43201,CatBoost,0,0.39810527972394744,0
52830,CatBoost,1,0.42087674637161476,0
30352,CatBoost,0,0.40337214655845316,0
65588,CatBoost,0,0.15535728126487577,0
88466,CatBoost,0,0.5736110417208639,1
76433,CatBoost,1,0.7798896036868467,1
45834,CatBoost,1,0.7964852865246347,1
76201,CatBoost,0,0.8432492014054304,1
74963,CatBoost,1,0.9856619984457757,1
48692,CatBoost,1,0.7120906737073819,1
65640,CatBoost,0,0.12139816735560661,0
7319,CatBoost,1,0.40669736820925123,0
71524,CatBoost,1,0.6824903342561259,1
72077,CatBoost,1,0.22837550276882101,0
56791,CatBoost,0,0.5905304836573093,1
11036,CatBoost,1,0.413793427462301,0
16942,CatBoost,1,0.13889590765533139,0
17655,CatBoost,0,0.00948993376209703,0
59203,CatBoost,1,0.9602182557018136,1
74078,CatBoost,1,0.7055236671577627,1
60422,CatBoost,1,0.19596896824828264,0
35126,CatBoost,0,0.39818670329810985,0
31083,CatBoost,1,0.6316447502072717,1
15407,CatBoost,1,0.9755743688514119,1
7744,CatBoost,0,0.10505941407975185,0
28469,CatBoost,0,0.19787623842518878,0
18766,CatBoost,1,0.46779195711311966,0
69856,CatBoost,1,0.4777546496643946,0
65726,CatBoost,1,0.246281758830656,0
84218,CatBoost,1,0.8097698501422822,1
44520,CatBoost,1,0.3369337267279938,0
67955,CatBoost,0,0.6059135437206371,1
24152,CatBoost,0,0.010372062549525564,0
13185,CatBoost,1,0.6412808842914703,1
67926,CatBoost,0,0.6997721596946646,1
78415,CatBoost,1,0.7273565748935041,1
83214,CatBoost,1,0.600567806992439,1
32565,CatBoost,0,0.2819262892868565,0
11194,CatBoost,0,0.10865148005090547,0
33166,CatBoost,0,0.3096666411924637,0
21699,CatBoost,1,0.7263641473733118,1
25671,CatBoost,1,0.24734366395871038,0
25629,CatBoost,1,0.7763794423503392,1
90565,CatBoost,0,0.21159570163748553,0
64804,CatBoost,0,0.09898590879116391,0
46449,CatBoost,0,0.6152067625058294,1
73891,CatBoost,1,0.8134157126210722,1
8279,CatBoost,1,0.7749037109551602,1
58754,CatBoost,1,0.9810933050280813,1
2046,CatBoost,1,0.591552297358875,1
40156,CatBoost,1,0.8506960633507085,1
88769,CatBoost,0,0.46839139410443853,0
44169,CatBoost,1,0.5289275795914491,1
18038,CatBoost,0,0.2610412671884778,0
48264,CatBoost,1,0.9834939962501844,1
40076,CatBoost,1,0.8827445315388857,1
2020,CatBoost,0,0.5391559490404085,1
6445,CatBoost,1,0.47538675415939924,0
13069,CatBoost,0,0.1226616717534432,0
37055,CatBoost,1,0.4298239059066894,0
34494,CatBoost,0,0.03802003110472579,0
23197,CatBoost,0,0.7260864997997671,1
72148,CatBoost,0,0.33135924864701766,0
63439,CatBoost,0,0.5047595253368261,1
66484,CatBoost,0,0.40522681626809604,0
91187,CatBoost,0,0.3239193534022738,0
68263,CatBoost,1,0.4695822047313328,0
54177,CatBoost,1,0.2856820498331745,0
81720,CatBoost,1,0.5175744213687327,1
32231,CatBoost,0,0.6524704426865738,1
90178,CatBoost,0,0.49109128150005693,0
77506,CatBoost,0,0.5675868742102042,1
42451,CatBoost,0,0.5075055083566369,1
59582,CatBoost,0,0.6729622209913588,1
22236,CatBoost,0,0.42518293703530396,0
60438,CatBoost,1,0.43743462042254777,0
39841,CatBoost,0,0.1821061266481376,0
63234,CatBoost,0,0.3827392769616167,0
53344,CatBoost,0,0.4573044180749441,0
26852,CatBoost,0,0.2506369465750381,0
42404,CatBoost,0,0.4441930086116718,0
10094,CatBoost,0,0.167393843112966,0
68908,CatBoost,1,0.10325874950333125,0
57218,CatBoost,0,0.17783745044604918,0
59692,CatBoost,1,0.5196106088884437,1
39472,CatBoost,0,0.3783323029155683,0
32303,CatBoost,0,0.06147210297030752,0
36016,CatBoost,1,0.9639071960120487,1
53551,CatBoost,0,0.3014457247850865,0
53602,CatBoost,0,0.11008399466336677,0
61494,CatBoost,0,0.22439342144754748,0
61351,CatBoost,0,0.4018968251273947,0
41348,CatBoost,0,0.02532388271153337,0
18421,CatBoost,0,0.43507767727276697,0
31458,CatBoost,0,0.5589178300690757,1
55751,CatBoost,0,0.49343433174383644,0
13022,CatBoost,1,0.7088211789085084,1
54780,CatBoost,1,0.3640410559625245,0
66859,CatBoost,0,0.41554581182161177,0
70970,CatBoost,0,0.20519113288803023,0
82712,CatBoost,1,0.589663487377246,1
31971,CatBoost,0,0.1752772489745282,0
67672,CatBoost,0,0.4797149232753059,0
71636,CatBoost,0,0.5451974107585347,1
69188,CatBoost,1,0.6016731940762773,1
6257,CatBoost,1,0.5594124206413046,1
28858,CatBoost,1,0.7611273849930554,1
78272,CatBoost,0,0.11834060615173406,0
65365,CatBoost,1,0.7312158839637248,1
68001,CatBoost,0,0.5659297862841456,1
80520,CatBoost,1,0.6191027417188756,1
82526,CatBoost,1,0.8998603041609121,1
82182,CatBoost,1,0.8508922185476331,1
41069,CatBoost,0,0.05010831357618447,0
86107,CatBoost,0,0.5347363221182447,1
3008,CatBoost,1,0.745965254167683,1
30308,CatBoost,0,0.37200406383688706,0
11620,CatBoost,0,0.1072451414390756,0
4558,CatBoost,0,0.44226400980730884,0
49092,CatBoost,0,0.19622604399667956,0
15625,CatBoost,0,0.7502302211755232,1
32085,CatBoost,0,0.2945212749987672,0
78810,CatBoost,0,0.5670557067789453,1
17370,CatBoost,0,0.4244713994417611,0
79958,CatBoost,1,0.989795063761595,1
12872,CatBoost,0,0.15640825152325646,0
78297,CatBoost,1,0.682866778256788,1
83440,CatBoost,1,0.6929447748871608,1
8125,CatBoost,0,0.3123073306660142,0
77307,CatBoost,0,0.5868274240860727,1
1972,CatBoost,1,0.967718444085065,1
14630,CatBoost,1,0.3846175053727164,0
16617,CatBoost,1,0.5757217961169372,1
340,CatBoost,0,0.10833486181782974,0
35701,CatBoost,0,0.6232381640102959,1
73722,CatBoost,0,0.4182568829996741,0
67623,CatBoost,0,0.029870046370126562,0
63180,CatBoost,0,0.401310826974291,0
68241,CatBoost,0,0.10654911961680454,0
80113,CatBoost,1,0.43183258273037106,0
35933,CatBoost,0,0.09968074755552205,0
55879,CatBoost,0,0.45642330366547695,0
80399,CatBoost,0,0.24727557825031213,0
75820,CatBoost,0,0.42057532031913053,0
32197,CatBoost,0,0.014448140420782418,0
32494,CatBoost,0,0.450362238294725,0
86306,CatBoost,0,0.034914937390798734,0
45717,CatBoost,1,0.454272671572567,0
78607,CatBoost,1,0.5255965408047167,1
70603,CatBoost,1,0.3544682022436274,0
68986,CatBoost,1,0.22962464373892302,0
91347,CatBoost,1,0.27007282205173216,0
53814,CatBoost,1,0.5657650428697835,1
42858,CatBoost,1,0.6184273735264199,1
91111,CatBoost,1,0.20795768817619964,0
3168,CatBoost,1,0.16761945579177,0
15199,CatBoost,1,0.5995942791426943,1
35895,CatBoost,1,0.5424163854080065,1
73838,CatBoost,1,0.6725634934389547,1
29455,CatBoost,0,0.1564549529604844,0
2559,CatBoost,0,0.28848789711416545,0
37918,CatBoost,0,0.09613320906264118,0
4175,CatBoost,1,0.7196271831039878,1
21996,CatBoost,0,0.16783376691435625,0
42413,CatBoost,1,0.521023733022735,1
31420,CatBoost,0,0.046513091745124156,0
31593,CatBoost,1,0.4968165660451273,0
7264,CatBoost,1,0.4140749018466521,0
76446,CatBoost,0,0.06449397261692667,0
68004,CatBoost,0,0.45416139037236036,0
27122,CatBoost,1,0.7027455431333158,1
15299,CatBoost,1,0.9050469024554333,1
60577,CatBoost,0,0.12415349336242668,0
20466,CatBoost,1,0.5693987567949218,1
31983,CatBoost,0,0.5270327145083507,1
6039,CatBoost,0,0.46559146501324544,0
57279,CatBoost,0,0.7221453214807471,1
8754,CatBoost,1,0.704351068643242,1
82744,CatBoost,1,0.8164698911505313,1
68496,CatBoost,1,0.6771603946962201,1
42729,CatBoost,0,0.12336144809061526,0
44019,CatBoost,1,0.49542850590755666,0
34610,CatBoost,1,0.1781126203100106,0
79336,CatBoost,1,0.6123500670602585,1
10387,CatBoost,0,0.3420394993624649,0
23399,CatBoost,1,0.345768497067721,0
9111,CatBoost,1,0.7319682909469384,1
28073,CatBoost,1,0.41252865586140747,0
52371,CatBoost,1,0.7946498654819675,1
13521,CatBoost,0,0.6643890506681781,1
28682,CatBoost,1,0.9376965602692399,1
52119,CatBoost,1,0.5766889978263441,1
75046,CatBoost,1,0.9537615333461505,1
50734,CatBoost,0,0.1882733851216381,0
57058,CatBoost,0,0.12640601014537214,0
57476,CatBoost,0,0.42621244643015477,0
42661,CatBoost,1,0.5456638377477449,1
41017,CatBoost,0,0.4112967329373048,0
1833,CatBoost,1,0.993433014119635,1
73494,CatBoost,1,0.9615368963308959,1
68020,CatBoost,0,0.28818888853808633,0
17119,CatBoost,1,0.10320500103152427,0
55708,CatBoost,1,0.39714433026148976,0
43203,CatBoost,0,0.42163222804794714,0
8636,CatBoost,0,0.22878477475708922,0
8806,CatBoost,1,0.9873860428862085,1
21720,CatBoost,1,0.24825465162840904,0
91328,CatBoost,0,0.3108864828271618,0
30039,CatBoost,0,0.5867045897353173,1
7916,CatBoost,1,0.8394392007236973,1
35625,CatBoost,1,0.7716301437307558,1
19760,CatBoost,0,0.6688740394472843,1
41272,CatBoost,0,0.48931404806873846,0
17532,CatBoost,1,0.8696320286736554,1
71645,CatBoost,1,0.329933237844048,0
84024,CatBoost,1,0.6842796264013753,1
87352,CatBoost,1,0.5949331488657263,1
90941,CatBoost,0,0.538297094238604,1
8482,CatBoost,1,0.19583922259696768,0
83207,CatBoost,0,0.44447947314731723,0
