Model,FPR,TPR,Threshold
CatBoost,0.0,0.0,inf
CatBoost,0.0,0.00014585764294049007,0.9960796845061933
CatBoost,0.0,0.10326721120186698,0.9323345899235824
CatBoost,0.00014590020426028595,0.10326721120186698,0.9322313867357837
CatBoost,0.00014590020426028595,0.11114352392065344,0.9249690206871013
CatBoost,0.0002918004085205719,0.11114352392065344,0.9248858557169023
CatBoost,0.0002918004085205719,0.11274795799299883,0.9226608071501419
CatBoost,0.0004377006127808579,0.11274795799299883,0.9226098979122729
CatBoost,0.0004377006127808579,0.11449824970828472,0.9215561461861069
CatBoost,0.0005836008170411438,0.11449824970828472,0.9214813971805937
CatBoost,0.0005836008170411438,0.11595682613768961,0.9203438922196426
CatBoost,0.0007295010213014298,0.11595682613768961,0.9198103728006423
CatBoost,0.0007295010213014298,0.1161026837806301,0.9197375436602792
CatBoost,0.0008754012255617158,0.1161026837806301,0.9197196505003998
CatBoost,0.0008754012255617158,0.11639439906651108,0.9190944608040363
CatBoost,0.0010213014298220018,0.11639439906651108,0.9187742159173553
CatBoost,0.0010213014298220018,0.11668611435239207,0.9187381400305196
CatBoost,0.0011672016340822876,0.11668611435239207,0.9187219248063013
CatBoost,0.0011672016340822876,0.11712368728121353,0.9181798717676248
CatBoost,0.0013131018383425736,0.11712368728121353,0.9180205979457526
CatBoost,0.0013131018383425736,0.11974912485414235,0.9151448630674925
CatBoost,0.0014590020426028597,0.11974912485414235,0.9147882775861417
CatBoost,0.0014590020426028597,0.12602100350058343,0.9092116855335878
CatBoost,0.0016049022468631457,0.12602100350058343,0.9090091445148939
CatBoost,0.0016049022468631457,0.12616686114352393,0.9089635750600388
CatBoost,0.0018967026553837175,0.12616686114352393,0.9081989762143765
CatBoost,0.0018967026553837175,0.13039673278879813,0.9040807486648575
CatBoost,0.0020426028596440037,0.13039673278879813,0.9038105133818033
CatBoost,0.0020426028596440037,0.13783547257876314,0.8987523569949974
CatBoost,0.0021885030639042895,0.13783547257876314,0.8987018029448512
CatBoost,0.0021885030639042895,0.1379813302217036,0.8986178696452317
CatBoost,0.0023344032681645753,0.1379813302217036,0.8983192228856997
CatBoost,0.0023344032681645753,0.14031505250875145,0.8961600076929055
CatBoost,0.0024803034724248615,0.14031505250875145,0.896006753828372
CatBoost,0.0024803034724248615,0.14250291715285882,0.8945116321000263
CatBoost,0.0026262036766851473,0.14250291715285882,0.8942703673183152
CatBoost,0.0026262036766851473,0.1426487747957993,0.8942548743033017
