feature,coefficient,importance,direction,feature_group,rank
SummonerSpell1_P9_12,-0.00991677567630215,0.00991677567630215,Red-favored,setup_runes_spells,628
SummonerSpell1_P10_32,0.009881522030796133,0.009881522030796133,Blue-favored,setup_runes_spells,629
PrimaryKeyStone_P1_9923,-0.00987475736303398,0.00987475736303398,Red-favored,setup_runes_spells,630
Lane_P5_BOTTOM,-0.009874252184137405,0.009874252184137405,Red-favored,lane_position,631
SummonerSpell1_P10_11,-0.009860715474383143,0.009860715474383143,Red-favored,setup_runes_spells,632
RedChamp_3,0.009780346926813378,0.009780346926813378,Blue-favored,champion_composition,633
RedChamp_133,0.009765642776968737,0.009765642776968737,Blue-favored,champion_composition,634
QueueType_CLASSIC,-0.009645531349863625,0.009645531349863625,Red-favored,queue_type,635
PrimaryKeyStone_P8_8010,-0.00963214041909824,0.00963214041909824,Red-favored,setup_runes_spells,636
BlueChamp_876,0.009630702319355653,0.009630702319355653,Blue-favored,champion_composition,637
PrimaryKeyStone_P1_8230,0.009613753083504737,0.009613753083504737,Blue-favored,setup_runes_spells,638
PrimaryKeyStone_P9_8465,0.009562607763450607,0.009562607763450607,Blue-favored,setup_runes_spells,639
RedChamp_526,-0.009526295603991757,0.009526295603991757,Red-favored,champion_composition,640
BlueChamp_245,0.009510021750092032,0.009510021750092032,Blue-favored,champion_composition,641
assists_P10,0.009480599652805245,0.009480599652805245,Blue-favored,player_level_stats,642
RedChamp_141,0.009462002543888568,0.009462002543888568,Blue-favored,champion_composition,643
RedChamp_53,-0.00945491469665405,0.00945491469665405,Red-favored,champion_composition,644
BlueChamp_131,-0.009360168088510885,0.009360168088510885,Red-favored,champion_composition,645
PrimaryKeyStone_P10_8360,-0.009355559505470058,0.009355559505470058,Red-favored,setup_runes_spells,646
BlueChamp_27,0.009301962198562446,0.009301962198562446,Blue-favored,champion_composition,647
SummonerSpell2_P7_7,-0.009235902607953822,0.009235902607953822,Red-favored,setup_runes_spells,648
BlueChamp_115,0.009065943624575195,0.009065943624575195,Blue-favored,champion_composition,649
Diff_Kills,0.00904117949807058,0.00904117949807058,Blue-favored,aggregate_difference,650
BlueChamp_711,-0.00901436575279316,0.00901436575279316,Red-favored,champion_composition,651
BlueChamp_14,0.008981788958879414,0.008981788958879414,Blue-favored,champion_composition,652
SummonerSpell1_P3_11,0.008912945953610094,0.008912945953610094,Blue-favored,setup_runes_spells,653
BlueChamp_96,-0.008899373616604313,0.008899373616604313,Red-favored,champion_composition,654
SummonerSpell2_P9_3,-0.00889156799114829,0.00889156799114829,Red-favored,setup_runes_spells,655
PrimaryKeyStone_P2_8439,0.008836050827676757,0.008836050827676757,Blue-favored,setup_runes_spells,656
deaths_P3,0.008825373603964019,0.008825373603964019,Blue-favored,player_level_stats,657
RedChamp_711,-0.00876063183922564,0.00876063183922564,Red-favored,champion_composition,658
SummonerSpell1_P2_1,-0.008736710245226112,0.008736710245226112,Red-favored,setup_runes_spells,659
PrimaryKeyStone_P6_8005,0.008731848421657555,0.008731848421657555,Blue-favored,setup_runes_spells,660
Lane_P3_BOTTOM,0.008653858628522507,0.008653858628522507,Blue-favored,lane_position,661
PrimaryKeyStone_P1_8010,0.008652879787299108,0.008652879787299108,Blue-favored,setup_runes_spells,662
SummonerSpell2_P2_7,0.008636552037693217,0.008636552037693217,Blue-favored,setup_runes_spells,663
BlueChamp_117,0.008620758212042605,0.008620758212042605,Blue-favored,champion_composition,664
SummonerSpell2_P2_12,0.00854342714855106,0.00854342714855106,Blue-favored,setup_runes_spells,665
PrimaryKeyStone_P1_8021,-0.008533796747129122,0.008533796747129122,Red-favored,setup_runes_spells,666
Lane_P7_JUNGLE,0.008515601152453492,0.008515601152453492,Blue-favored,lane_position,667
SummonerSpell2_P2_11,-0.00848726033468062,0.00848726033468062,Red-favored,setup_runes_spells,668
