row_index,explanation_type,feature,contribution_to_blue_logit,abs_contribution,raw_value,pushes_prediction_toward,tree_global_importance,z_vs_train
13867,linear_top_contribution,SummonerSpell1_P7_1,-1.7201955198632164,1.7201955198632164,True,Red,,
13867,linear_top_contribution,TotalGold_P1,0.8175331739371537,0.8175331739371537,9300,Blue,,
13867,linear_top_contribution,Diff_DmgDealt,0.7883400738606888,0.7883400738606888,18637,Blue,,
13867,linear_top_contribution,TotalGold_P4,0.4712362449465414,0.4712362449465414,8624,Blue,,
13867,linear_top_contribution,Diff_TotalGold,0.462580082704836,0.462580082704836,2869,Blue,,
13867,linear_top_contribution,TotalGold_P8,-0.4533143138093058,0.4533143138093058,7336,Red,,
13867,linear_top_contribution,TotalGold_P7,-0.45084755709539426,0.45084755709539426,9097,Red,,
13867,linear_top_contribution,assists_P2,0.43829783187253574,0.43829783187253574,21,Blue,,
13867,tree_important_feature_value,Blue_TotalGold_avg,,0.08906741425514111,8264.4,,0.021827003850003922,4.080606521500435
13867,tree_important_feature_value,Blue_TotalGold_sum,,0.08376119032896294,41322.0,,0.020526652076751577,4.080606521500435
13867,tree_important_feature_value,Diff_TotalGold,,0.0818478600156618,2869.0,,0.06587563605845399,1.242460261682104
13867,tree_important_feature_value,Diff_DmgDealt,,0.07838268200401902,18637.0,,0.021585852383133448,3.631206246238622
13867,tree_important_feature_value,Diff_assists,,0.0658641836721834,32.0,,0.013168108806973439,5.0017952188626875
13867,tree_important_feature_value,Red_deaths_avg,,0.06165687647449172,6.8,,0.010688329367278152,5.768616811459004
13867,tree_important_feature_value,Red_TotalGold_avg,,0.06140441541011405,7690.6,,0.01705442489298004,3.600497571477148
13867,tree_important_feature_value,Red_deaths_sum,,0.0606615672908983,34.0,,0.010515790747341342,5.768616811459003
64917,linear_top_contribution,SummonerSpell1_P7_1,-1.7201955198632164,1.7201955198632164,True,Red,,
64917,linear_top_contribution,Diff_TotalGold,0.8623199979320415,0.8623199979320415,5363,Blue,,
64917,linear_top_contribution,RedChamp_63,-0.29567278733754787,0.29567278733754787,1,Red,,
64917,linear_top_contribution,Diff_MinionsKilled,0.24542110335641396,0.24542110335641396,41,Blue,,
64917,linear_top_contribution,BlueChamp_238,-0.22730545662836363,0.22730545662836363,1,Red,,
64917,linear_top_contribution,Diff_DmgDealt,0.22539492089076668,0.22539492089076668,5345,Blue,,
64917,linear_top_contribution,MinionsKilled_P2,0.17253443702748675,0.17253443702748675,81,Blue,,
64917,linear_top_contribution,kills_P2,0.1548940432601767,0.1548940432601767,5,Blue,,
64917,tree_important_feature_value,Diff_TotalGold,,0.15257692477106222,5363.0,,0.06587563605845399,2.31613588725997
64917,tree_important_feature_value,Blue_KDA,,0.08481703432274976,9.333333333333334,,0.029009646567652352,2.9237527635833485
64917,tree_important_feature_value,Diff_kills,,0.07761414803653484,12.0,,0.03184261815221156,2.4374298515759554
64917,tree_important_feature_value,Diff_KDA,,0.07065055366784834,9.066666666666666,,0.03060862212535565,2.308191246848797
64917,tree_important_feature_value,Diff_deaths,,0.06632252540002499,-12.0,,0.02698316502916251,-2.4579223871012097
64917,tree_important_feature_value,Diff_Kills,,0.04972188261851222,12.0,,0.02274828136650822,2.1857423783986
64917,tree_important_feature_value,Diff_MinionsKilled,,0.03249860898883545,41.0,,0.026456908756423463,1.2283600207429797
64917,tree_important_feature_value,Diff_assists,,0.0246643130268321,12.0,,0.013168108806973439,1.8730338113374803
44062,linear_top_contribution,kills_P2,0.4881701609306388,0.4881701609306388,12,Blue,,
44062,linear_top_contribution,MinionsKilled_P7,0.4871685992306226,0.4871685992306226,11,Blue,,
44062,linear_top_contribution,TotalGold_P8,-0.4792313501849334,0.4792313501849334,7527,Red,,
44062,linear_top_contribution,SummonerSpell2_P5_32,-0.47350382097175814,0.47350382097175814,True,Red,,
44062,linear_top_contribution,DmgDealt_P10,-0.38636923512055993,0.38636923512055993,13984,Red,,
44062,linear_top_contribution,TotalGold_P1,0.38564758004092553,0.38564758004092553,6438,Blue,,
44062,linear_top_contribution,SummonerSpell1_P2_32,0.3718381358839857,0.3718381358839857,True,Blue,,
44062,linear_top_contribution,TotalGold_P4,0.3558049582853414,0.3558049582853414,7517,Blue,,
44062,tree_important_feature_value,Blue_TotalGold_avg,,0.0665398034536898,7153.8,,0.021827003850003922,3.0485083482347877
44062,tree_important_feature_value,Blue_TotalGold_sum,,0.0625756702172881,35769.0,,0.020526652076751577,3.048508348234787
44062,tree_important_feature_value,Red_TotalGold_avg,,0.05912133225238326,7548.8,,0.01705442489298004,3.4666271435936165
44062,tree_important_feature_value,Diff_TotalGold,,0.055526474256655634,-1975.0,,0.06587563605845399,-0.8428984914450747
44062,tree_important_feature_value,Red_TotalGold_sum,,0.05429473141518881,37744.0,,0.015662120316436788,3.4666271435936165
44062,tree_important_feature_value,Red_deaths_avg,,0.04025800761393842,5.0,,0.010688329367278152,3.7665388322693842
44062,tree_important_feature_value,Blue_MinionsKilled_sum,,0.04021176236420523,78.0,,0.010956699692384341,-3.6700615598833255
44062,tree_important_feature_value,Red_deaths_sum,,0.03960813420188025,25.0,,0.010515790747341342,3.766538832269384
1223,linear_top_contribution,PrimaryKeyStone_P3_8465,1.1748689755901378,1.1748689755901378,True,Blue,,
1223,linear_top_contribution,Diff_TotalGold,-0.9853952156763085,0.9853952156763085,-6165,Red,,
1223,linear_top_contribution,Diff_DmgDealt,-0.9762210797158112,0.9762210797158112,-23027,Red,,
1223,linear_top_contribution,MinionsKilled_P10,0.6668400760980493,0.6668400760980493,78,Blue,,
1223,linear_top_contribution,TotalGold_P8,-0.48628729726102055,0.48628729726102055,7579,Red,,
1223,linear_top_contribution,MinionsKilled_P7,0.43056261908129323,0.43056261908129323,17,Blue,,
1223,linear_top_contribution,MinionsKilled_P5,-0.3383862502317326,0.3383862502317326,50,Red,,
1223,linear_top_contribution,MinionsKilled_P9,0.3019593136588078,0.3019593136588078,18,Blue,,
1223,tree_important_feature_value,Diff_TotalGold,,0.1743535718208608,-6165.0,,0.06587563605845399,-2.646707982692572
1223,tree_important_feature_value,Diff_DmgDealt,,0.09706322054929117,-23027.0,,0.021585852383133448,-4.496612819660229
1223,tree_important_feature_value,Diff_kills,,0.06567609424431982,-10.0,,0.03184261815221156,-2.062521804280671
1223,tree_important_feature_value,Red_TotalGold_avg,,0.05939182447417365,7565.6,,0.01705442489298004,3.482487673836517
1223,tree_important_feature_value,Diff_deaths,,0.05617188220884749,10.0,,0.02698316502916251,2.0817380818054065
1223,tree_important_feature_value,Red_TotalGold_sum,,0.05454314094813561,37828.0,,0.015662120316436788,3.482487673836517
1223,tree_important_feature_value,Blue_TotalGold_avg,,0.049882434472821965,6332.6,,0.021827003850003922,2.2853541794199574
1223,tree_important_feature_value,Blue_TotalGold_sum,,0.04691067011310355,31663.0,,0.020526652076751577,2.2853541794199566
6859,linear_top_contribution,Diff_TotalGold,0.4629006439840879,0.4629006439840879,2871,Blue,,
6859,linear_top_contribution,BlueChamp_81,-0.4318741646386696,0.4318741646386696,1,Red,,
6859,linear_top_contribution,BlueChamp_110,-0.3115127186350181,0.3115127186350181,1,Red,,
6859,linear_top_contribution,SummonerSpell2_P8_3,-0.24346225898699964,0.24346225898699964,True,Red,,
6859,linear_top_contribution,BlueChamp_121,-0.21389648891806234,0.21389648891806234,1,Red,,
6859,linear_top_contribution,TotalGold_P1,-0.19834866327787345,0.19834866327787345,2568,Red,,
6859,linear_top_contribution,RedChamp_54,-0.16481731664631522,0.16481731664631522,1,Red,,
6859,linear_top_contribution,RedChamp_157,0.15329387332395353,0.15329387332395353,1,Blue,,
6859,tree_important_feature_value,Diff_TotalGold,,0.08190457939397407,2871.0,,0.06587563605845399,1.2433212685991673
6859,tree_important_feature_value,Diff_kills,,0.04504818388179515,7.0,,0.03184261815221156,1.414713566153995
6859,tree_important_feature_value,Diff_deaths,,0.038482887307099437,-7.0,,0.02698316502916251,-1.4261813714406153
6859,tree_important_feature_value,Diff_Kills,,0.029348447214763616,7.0,,0.02274828136650822,1.2901390985066974
6859,tree_important_feature_value,Diff_KDA,,0.02734837786072676,3.5333333333333337,,0.03060862212535565,0.8934860820824678
6859,tree_important_feature_value,Blue_KDA,,0.021575824463409103,4.2,,0.029009646567652352,0.7437465469664686
6859,tree_important_feature_value,Red_KDA,,0.019549347118774353,0.6666666666666666,,0.025119534818149734,-0.7782527527002321
6859,tree_important_feature_value,Diff_DragonKills,,0.014601823067521169,-1.0,,0.014490790213985822,-1.007662304946502
45020,linear_top_contribution,PrimaryKeyStone_P6_8465,-1.0182839053715274,1.0182839053715274,True,Red,,
45020,linear_top_contribution,Diff_TotalGold,0.6882552232982222,0.6882552232982222,4277,Blue,,
