case_bucket,Diff_TotalGold,Diff_MinionsKilled,Diff_kills,Diff_DmgDealt,Diff_KDA,Diff_DragonKills,Diff_TowerKills,Diff_Kills,Blue_TotalGold_sum,Red_TotalGold_sum,BlueKills,RedKills,BlueDragonKills,RedDragonKills,BlueTowerKills,RedTowerKills,linear_prob_blue,tree_prob_blue,linear_margin,tree_margin,count
both_correct,-37.43752155420163,-1.5638579147028393,0.08690654098172204,49.5137372111737,0.06407393569432468,-0.08391769168869985,-0.0005747787101965744,-0.43740659845959307,19545.965513277388,19583.40303483159,8.300839176916886,8.73824577537648,0.37935394872973904,0.4632716404184389,0.10725370732268077,0.10782848603287734,0.5040305311900747,0.505901342233349,0.27301385501451364,0.21889511907852963,8699
both_wrong,-20.94509936005389,-1.7160660154934322,0.07611990569215224,-42.53216571236106,0.07327392276614608,-0.09801279892219603,-0.014482990906028967,0.1505557426743011,18859.36712697878,18880.312226338836,7.836982148871674,7.686426406197373,0.37790501852475583,0.47591781744695183,0.05692152239811384,0.07140451330414281,0.4882008859610863,0.48965917596787367,0.1814418527631694,0.14354981382086984,2969
linear_correct_tree_wrong,90.16974494283201,-0.7264731750219877,0.23131046613896217,35.65171503957784,0.12953402551971008,-0.047493403693931395,-0.0043975373790677225,0.29991204925241866,18952.040457343886,18861.870712401054,7.797713280562885,7.497801231310466,0.4019349164467898,0.4494283201407212,0.06596306068601583,0.07036059806508356,0.5038698133103161,0.49776067380228584,0.10357501993928404,0.06479445460920435,1137
linear_wrong_tree_correct,38.0353591160221,0.41878453038674035,0.18121546961325966,83.19226519337016,0.08228783540015196,-0.09723756906077348,-0.0066298342541436465,0.2795580110497238,19341.150276243094,19303.114917127074,8.212154696132597,7.932596685082873,0.3624309392265193,0.45966850828729283,0.0707182320441989,0.07734806629834254,0.5026380122031123,0.4951575062790661,0.08652090998632796,0.07642724160394995,905
