model_family,model,test_accuracy,test_auc,test_f1
linear,LogisticRegression,0.7174325309992706,0.7970664354962769,0.7156905915162189
tree_based,CatBoostClassifier,0.7160466812545587,0.7988922522735405,0.7131383096308305
