feature,coefficient,importance,direction,importance_rank,model,feature_group,Experiment,raw_value,importance_type
MinionsKilled_P7,,0.1389894676766874,Red-favored,6,LogisticRegression,player_level_stats,05 All-features LogisticRegression,-0.1389894676766874,absolute_logistic_coefficient
MinionsKilled_P2,,0.1367282460813653,Blue-favored,7,LogisticRegression,player_level_stats,05 All-features LogisticRegression,0.1367282460813653,absolute_logistic_coefficient
TotalGold_P4,,0.1247446698827798,Blue-favored,8,LogisticRegression,player_level_stats,05 All-features LogisticRegression,0.1247446698827798,absolute_logistic_coefficient
BlueChamp_81,,0.1212748625590444,Red-favored,9,LogisticRegression,champion_composition,05 All-features LogisticRegression,-0.1212748625590444,absolute_logistic_coefficient
RedChamp_81,,0.1132209699601813,Blue-favored,10,LogisticRegression,champion_composition,05 All-features LogisticRegression,0.1132209699601813,absolute_logistic_coefficient
RedChamp_51,,0.1121079957768617,Blue-favored,11,LogisticRegression,champion_composition,05 All-features LogisticRegression,0.1121079957768617,absolute_logistic_coefficient
Diff_DragonKills,,0.1074470767167886,Blue-favored,12,LogisticRegression,aggregate_difference,05 All-features LogisticRegression,0.1074470767167886,absolute_logistic_coefficient
Diff_TotalGold,,18.13916169857414,higher importance,1,CatBoost,aggregate_difference,05 All-features Best (CatBoost),18.13916169857414,tree_feature_importance
PrimaryKeyStone_P6_0,,4.862220574537697,higher importance,2,CatBoost,setup_runes_spells,05 All-features Best (CatBoost),4.862220574537697,tree_feature_importance
Lane_P5_JUNGLE,,3.8848859818075776,higher importance,3,CatBoost,lane_position,05 All-features Best (CatBoost),3.8848859818075776,tree_feature_importance
PrimaryKeyStone_P9_0,,3.7983330326987694,higher importance,4,CatBoost,setup_runes_spells,05 All-features Best (CatBoost),3.7983330326987694,tree_feature_importance
PrimaryKeyStone_P7_0,,3.650786288441096,higher importance,5,CatBoost,setup_runes_spells,05 All-features Best (CatBoost),3.650786288441096,tree_feature_importance
Red_MinionsKilled_sum,,2.9982623520840086,higher importance,6,CatBoost,team_aggregate,05 All-features Best (CatBoost),2.9982623520840086,tree_feature_importance
Diff_MinionsKilled,,2.530224617579014,higher importance,7,CatBoost,aggregate_difference,05 All-features Best (CatBoost),2.530224617579014,tree_feature_importance
Lane_P4_JUNGLE,,2.35530337421711,higher importance,8,CatBoost,lane_position,05 All-features Best (CatBoost),2.35530337421711,tree_feature_importance
Red_MinionsKilled_avg,,1.7018640602099884,higher importance,9,CatBoost,team_aggregate,05 All-features Best (CatBoost),1.7018640602099884,tree_feature_importance
RedDragonKills,,1.421402095416714,higher importance,10,CatBoost,objective_counts,05 All-features Best (CatBoost),1.421402095416714,tree_feature_importance
Diff_DragonKills,,1.2754975746741304,higher importance,11,CatBoost,aggregate_difference,05 All-features Best (CatBoost),1.2754975746741304,tree_feature_importance
Lane_P8_JUNGLE,,1.1998969800046553,higher importance,12,CatBoost,lane_position,05 All-features Best (CatBoost),1.1998969800046553,tree_feature_importance
