Experiment,Model,Test_AUC,Test_Accuracy,Test_F1
03 Baseline,LogisticRegression,0.7828129687065344,0.7052516411378555,0.7027583670467084
04 Aggregate-only,CatBoost,0.7821646746834034,0.7036469730123998,0.6997265538393319
05 All features,CatBoost,0.7989231730723723,0.7137126185266229,0.7101823820423835
