Feature_Set,Best_Model,Best_Test_AUC,LogReg_Test_AUC,Best_minus_LogReg_Test_AUC,Best_Test_Accuracy,LogReg_Test_Accuracy,Best_minus_LogReg_Test_Accuracy,Best_Test_F1,LogReg_Test_F1,Best_minus_LogReg_Test_F1
Aggregate-only,CatBoost,0.7821646746834034,0.7812421580768276,0.0009225166065758295,0.7036469730123998,0.7036469730123998,0.0,0.6997265538393319,0.7012280314729025,-0.0015014776335705582
All features,CatBoost,0.7989231730723723,0.7970664354962769,0.0018567375760953908,0.7137126185266229,0.7174325309992706,-0.0037199124726476906,0.7101823820423835,0.7156905915162189,-0.005508209473835457
